# M_f [M_sun], P(M_f) [M_sun^-1]
3.554939309087782630e-22, 9.869345670670587904e+18
4.164867986368243590e-22, 9.265521765445799936e+18
4.879443454781822347e-22, 8.833379313056288768e+18
5.716620192126315073e-22, 8.277317554231760896e+18
6.697433165046825470e-22, 7.932936358995517440e+18
7.846526355214260603e-22, 7.490078731626671104e+18
9.192771965891135454e-22, 7.204678444590645248e+18
1.076999586711594898e-21, 6.896163775101228032e+18
1.261782750709730719e-21, 6.500690844801669120e+18
1.478269564475659425e-21, 6.190885632633564160e+18
1.731899492227074708e-21, 5.926566413305661440e+18
2.029045258900605437e-21, 5.643025207860975616e+18
2.377172971725329711e-21, 5.363772944469365760e+18
2.785029714203261248e-21, 5.087565497828316160e+18
3.262863325997498860e-21, 4.795829980975583232e+18
3.822679890934355379e-21, 4.531132384160770560e+18
4.478545402782572019e-21, 4.289340612245753344e+18
5.246939188487060978e-21, 4.060212953498040832e+18
6.147167968996433368e-21, 3.843294566740873216e+18
7.201850961408169007e-21, 3.648718420916128256e+18
8.437488211144998925e-21, 3.444161445530770432e+18
9.885126434120334154e-21, 3.253741147144506368e+18
1.158113909889358002e-20, 3.061228397762388992e+18
1.356814034921921673e-20, 2.885997605018120704e+18
1.589605573027771623e-20, 2.705099272800600064e+18
1.862337662173687523e-20, 2.533019869667346432e+18
2.181862989662507000e-20, 2.380900962569644032e+18
2.556209973277687262e-20, 2.227720404074115072e+18
2.994784483921711958e-20, 2.082950003249863168e+18
3.508606178246820418e-20, 1.952230376447934464e+18
4.110585379389697468e-20, 1.818170606490006528e+18
4.815847462736724022e-20, 1.699848890242640384e+18
5.642112897261175748e-20, 1.590705437377043200e+18
6.610142491380065642e-20, 1.484465753287767552e+18
7.744259030612173168e-20, 1.387022298500724992e+18
9.072958413744709407e-20, 1.300819039190587904e+18
1.062962564296273862e-19, 1.223288033279873024e+18
1.245337365796392977e-19, 1.148534862049936256e+18
1.459002609066893339e-19, 1.081342779310112512e+18
1.709326863329692882e-19, 1.019476399449261568e+18
2.002599794916861493e-19, 9.641421915235998720e+17
2.346190201907295332e-19, 9.165173400585446400e+17
2.748731163110049905e-19, 8.775085594888083200e+17
3.220336953461912371e-19, 8.739387657075366400e+17
3.772857176071966462e-19, 9.699885991276340480e+17
4.420174496254335417e-19, 7.410700226075997440e+17
5.178553458437248030e-19, 5.661765291896644480e+17
6.067049150348568050e-19, 4.325581286871088640e+17
7.107985982605515872e-19, 3.304738452529787520e+17
8.327518613560927099e-19, 2.524815860651367680e+17
9.756289113246611492e-19, 1.928956019293103680e+17
1.143019687836545591e-18, 1.473719878885411200e+17
1.339130064327491740e-18, 1.125920062302891840e+17
1.568887525095887845e-18, 8.602014567754344000e+16
1.838064973649593682e-18, 6.571927892688415200e+16
2.153425783120427356e-18, 5.020944324902636800e+16
2.522893733294045941e-18, 3.835994905211763200e+16
2.955752104106024924e-18, 2.930695096503768800e+16
3.462876928042592619e-18, 2.239047225271821600e+16
4.057010262163551902e-18, 1.710629155171493000e+16
4.753080346001232680e-18, 1.306918439903599200e+16
5.568576689647165650e-18, 9.984839808186336000e+15
6.523989516518419787e-18, 7.628404569951308000e+15
7.643324602276253526e-18, 5.828091126223503000e+15
8.954706445778864130e-18, 4.452654007020267500e+15
1.049108492738794133e-17, 3.401821844724732000e+15
1.229106321017912490e-17, 2.598987445465288500e+15
1.439986768596596156e-17, 1.985623013198333500e+15
1.687048433707514473e-17, 1.517013388203171250e+15
1.976499006618515979e-17, 1.158996246866019000e+15
2.315611244532450716e-17, 8.854716185732278750e+14
2.712905707440121844e-17, 6.764991598711670000e+14
3.178364846361432647e-17, 5.168444744099351875e+14
3.723683823172148955e-17, 3.948685032793720000e+14
4.362564364134417995e-17, 3.016790206765808125e+14
5.111059030517391504e-17, 2.304823777043330938e+14
5.987974556477713349e-17, 1.760882354798996250e+14
7.015344388498441742e-17, 1.345311818771714688e+14
8.218982299448246298e-17, 1.027816472119421875e+14
9.629130987410051721e-17, 7.852504420309984375e+13
1.128122195602306520e-16, 5.999303119149014844e+13
1.321676576914936317e-16, 4.583459745955856250e+13
1.548439504847211017e-16, 3.501757258395976953e+13
1.814108642046238339e-16, 2.675337970961427734e+13
2.125359211544772699e-16, 2.043954714938340234e+13
2.490011718924986992e-16, 1.561578732132040430e+13
2.917228450939035525e-16, 1.193044111410597852e+13
3.417743687825801351e-16, 9.114841426075173828e+12
4.004133413656054675e-16, 6.963726942524048828e+12
4.691131301468769991e-16, 5.320278287157789062e+12
5.495998912665211303e-16, 4.064685661345543945e+12
6.438959412319121213e-16, 3.105414535444217773e+12
7.543705697967002551e-16, 2.372532648380952148e+12
8.837995709161229663e-16, 1.812611844050751221e+12
1.035434987557938712e-15, 1.384833080984234131e+12
1.213086822782425552e-15, 1.058010664821953003e+12
1.421218770170270965e-15, 8.083187658121293945e+11
1.665060368928408994e-15, 6.175544811488255615e+11
1.950738401691563623e-15, 4.718108168673093262e+11
2.285430836530691886e-15, 3.604628477456577759e+11
2.677547181126970641e-15, 2.753931447939894409e+11
3.136939780704104200e-15, 2.104000028680814514e+11
3.675151368806934184e-15, 1.607453273392251892e+11
4.305705090906085245e-15, 1.228092201006077118e+11
5.044444287983953543e-15, 9.382608372740669250e+10
5.909930577530328216e-15, 7.168300539984294128e+10
6.923910234161186932e-15, 5.476572248376759338e+10
8.111860588175597371e-15, 4.184094043544659424e+10
9.503630170902745736e-15, 3.196642383457503510e+10
1.113418869117993458e-14, 2.442230605089361191e+10
1.304450568692773882e-14, 1.865860991927394104e+10
1.528257992888903767e-14, 1.425515360400219727e+10
1.790464544140884680e-14, 1.089091873151253891e+10
2.097658444282498875e-14, 8.320647683733796120e+09
2.457558270711805719e-14, 6.356963960849756241e+09
2.879206893956380988e-14, 4.856712161791873932e+09
3.373198689528892016e-14, 3.710521747135674477e+09
3.951945733015404868e-14, 2.834833767643078804e+09
4.629989666834555381e-14, 2.165809295247860432e+09
5.424367074655676216e-14, 1.654675472305189610e+09
6.355037543901280041e-14, 1.264169899285668850e+09
7.445385171865133341e-14, 9.658241516295727491e+08
8.722806116326921614e-14, 7.378883901575924158e+08
1.021939695350504780e-13, 5.637457661529309750e+08
1.197276113908228647e-13, 4.307010289017628431e+08
1.402695383550534565e-13, 3.290550234429582357e+08
1.643358884536128603e-13, 2.513976080554958582e+08
1.925313546372367750e-13, 1.920674441446143985e+08
2.255643783427914986e-13, 1.467392764227107763e+08
2.642649498469248929e-13, 1.121086154962763339e+08
3.096054626651536335e-13, 8.565083578773351014e+07
3.627251459856035670e-13, 6.543712665329786390e+07
4.249586890286010331e-13, 4.999387927994024009e+07
4.978697765499685977e-13, 3.819525846057734638e+07
5.832903781036313840e-13, 2.918112756772507355e+07
6.833667782485480914e-13, 2.229434334153842181e+07
8.006135042584769108e-13, 1.703284918871392682e+07
9.379765063263084318e-13, 1.301307452944701537e+07
1.098907177733620883e-12, 9.941971940851571038e+06
1.287449074821890004e-12, 7.595653574979429133e+06
1.508339515697955710e-12, 5.803069408372570761e+06
1.767128610450621027e-12, 4.433537446890356950e+06
2.070318713640647402e-12, 3.387216817586570978e+06
2.425527802958077446e-12, 2.587829223562033381e+06
2.841680889111551975e-12, 1.977098146123205544e+06
3.329234266329045287e-12, 1.510500400750668952e+06
3.900438238005257590e-12, 1.154020332731906325e+06
4.569644918760408134e-12, 8.816700265579918632e+05
5.353668846768369621e-12, 6.735947484322660603e+05
6.272209467127062636e-12, 5.146255077447902295e+05
7.348346101620664173e-12, 3.931732155880557839e+05
8.609117841521512969e-12, 3.003838230428988463e+05
1.008620293386256217e-11, 2.294928483119212324e+05
1.181671473149198844e-11, 1.753322362288530567e+05
1.384413420601148128e-11, 1.339535993687978771e+05
1.621940245398964309e-11, 1.023403748712826782e+05
1.900220064684535723e-11, 7.818791266126262781e+04
2.226244958451911904e-11, 5.973546307616211561e+04
2.608206653083284003e-11, 4.563781569714834768e+04
3.055702347291745383e-11, 3.486723153026708314e+04
3.579975852069152363e-11, 2.663851930524443742e+04
4.194200103539933424e-11, 2.035179390693206733e+04
4.913808147160267494e-11, 1.554874393192437310e+04
5.756880909596944173e-11, 1.187922002626421454e+04
6.744601501471849372e-11, 9.075708558553560579e+03
7.901787465817365748e-11, 6.933829456570981165e+03
9.257514345558095331e-11, 5.297436611969218575e+03
1.084584623782321578e-10, 4.047234628813623203e+03
1.270669169105270310e-10, 3.092081942165346391e+03
1.488680645023350689e-10, 2.362346544596718559e+03
1.744096824531938844e-10, 1.804829659597671480e+03
2.043335314065755398e-10, 1.378887486068957514e+03
2.393914802768297581e-10, 1.053468221531834388e+03
2.804643977649551806e-10, 8.048483291988150086e+02
3.285842851328589352e-10, 6.149030572466837157e+02
3.849602063458864622e-10, 4.697851193888773764e+02
4.510086671063629299e-10, 3.589152052290756956e+02
5.283892060840569477e-10, 2.742107342247512065e+02
6.190460926115560205e-10, 2.094966319882222763e+02
7.252571785440163173e-10, 1.600551444635173652e+02
8.496911317388502362e-10, 1.222819120552016301e+02
9.954744892081493267e-10, 9.342321433711309453e+01
1.166270214726448448e-09, 7.137520698551061571e+01
1.366369734738289428e-09, 5.453055849391484600e+01
1.600800765066854691e-09, 4.166126872109529700e+01
1.875453637685745777e-09, 3.182914898774077983e+01
2.197229301650036782e-09, 2.431742300660421208e+01
2.574212716869338996e-09, 1.857847518546573440e+01
3.015875997428001928e-09, 1.419392666186307927e+01
3.533316408647045077e-09, 1.084413736467887723e+01
4.139535197820245990e-09, 8.284903228989957569e+00
4.849764264546636664e-09, 6.329651236524023616e+00
5.681848878603233730e-09, 4.835841916014012476e+00
6.656696061556467092e-09, 3.694574223127386592e+00
7.798799898182857864e-09, 2.822647007015149700e+00
9.136856976714022134e-09, 2.156496061607566794e+00
1.070448742150435761e-08, 1.647557722552676740e+00
1.254107963484337046e-08, 1.258729565725373867e+00
1.469277997296015627e-08, 9.616653976730760167e-01
1.721365222289457542e-08, 7.347091261725708922e-01
2.016703601333963015e-08, 5.613148120956283904e-01
2.362713829099000118e-08, 4.288418599305809931e-01
2.768089784995247636e-08, 3.276328859386634651e-01
3.243016976252675725e-08, 2.503093993759115121e-01
3.799428459753194850e-08, 1.912344739025659546e-01
4.451304672929294335e-08, 1.461014486020648095e-01
5.215024707302747141e-08, 1.116198199866715729e-01
6.109777850789253333e-08, 8.527603002724970516e-02
7.158045739212245458e-08, 6.514945235695498993e-02
8.386167231601665177e-08, 4.977288510379468400e-02
9.825000202377754192e-08, 3.802526049246528900e-02
1.151069687866058048e-07, 2.905011048372770077e-02
1.348561220388992395e-07, 2.219317985512434671e-02
1.579936805136920602e-07, 1.695448300279458684e-02
1.851010002724404292e-07, 1.295226108195240630e-02
2.168591819018276323e-07, 9.894583381747524414e-03
2.540661838991262367e-07, 7.558534369641589472e-03
2.976568722383458751e-07, 5.773862870376257443e-03
3.487265098841028302e-07, 4.410415393136040210e-03
4.085582764525233750e-07, 3.368790974215582316e-03
4.786555094802828620e-07, 2.573052302994346778e-03
5.607794773983806434e-07, 1.965149599013685678e-03
6.569936332972589126e-07, 1.500746377087375282e-03
7.697154614067526183e-07, 1.145973503515264206e-03
9.017772189895008571e-07, 8.749539422415451330e-04
1.056497099853249245e-06, 6.679244823784609300e-04
1.237762607541896761e-06, 5.097918094362905621e-04
1.450128233046472805e-06, 3.890034009652543418e-04
1.698929891293638432e-06, 2.967560252455311593e-04
1.990418991751685834e-06, 2.263013357296259716e-04
2.331919511822318867e-06, 1.725099012182839710e-04
2.732012019656224729e-06, 1.314377366900451843e-04
3.200749270163831329e-06, 1.000793478128456381e-04
3.749908791302991839e-06, 7.614836311713196098e-05
4.393288807145992575e-06, 5.788475734531535704e-05
5.147054933111502699e-06, 4.394756855690525532e-05
6.030146354452266775e-06, 3.332473377663486660e-05
7.064751693670376281e-06, 2.522207337645995782e-05
8.276866523540982274e-06, 1.904757443508978558e-05
9.696946533859272140e-06, 1.434470173732241199e-05
1.136067276342852149e-05, 1.076604514101149687e-05
1.330984812456625985e-05, 8.042061789525178884e-06
1.559344774627215830e-05, 5.969022391686633237e-06
1.826884952705988956e-05, 4.397202286492414181e-06
2.140327581641746703e-05, 3.203679584258915927e-06
2.507548244869502754e-05, 2.299824564455453581e-06
2.937773756821394599e-05, 1.617307943509582086e-06
3.441813996570822800e-05, 1.100236326692950584e-06
4.032333517679733450e-05, 7.086902563103445114e-07
4.724169758738698836e-05, 4.063974622355929940e-07
