# M_f [M_sun], P(M_f) [M_sun^-1]
3.554939309087782630e-22, 9.497252844043156800e+16
4.164867986368243590e-22, 7.255888766295752000e+16
4.879443454781822347e-22, 5.543489538859540800e+16
5.716620192126315073e-22, 5.492435972936090400e+16
6.697433165046825470e-22, 5.299741907543744800e+16
7.846526355214260603e-22, 4.048995894147718400e+16
9.192771965891135454e-22, 3.093427573801102800e+16
1.076999586711594898e-21, 3.071032218938267200e+16
1.261782750709730719e-21, 2.346264603485098000e+16
1.478269564475659425e-21, 1.792543092065080000e+16
1.731899492227074708e-21, 1.792764946808059200e+16
2.029045258900605437e-21, 1.369670077417419600e+16
2.377172971725329711e-21, 1.367797397151203200e+16
2.785029714203261248e-21, 1.303336265957021000e+16
3.262863325997498860e-21, 1.457970228433870800e+16
3.822679890934355379e-21, 1.113887349932175200e+16
4.478545402782572019e-21, 1.014931004397138000e+16
5.246939188487060978e-21, 7.754059615238556000e+15
6.147167968996433368e-21, 1.331766204550183800e+16
7.201850961408169007e-21, 1.765964263508522800e+16
8.437488211144998925e-21, 1.976801287047109200e+16
9.885126434120334154e-21, 1.827538075121906400e+16
1.158113909889358002e-20, 1.718788917843959600e+16
1.356814034921921673e-20, 1.644784562699864800e+16
1.589605573027771623e-20, 1.549987104444918600e+16
1.862337662173687523e-20, 1.510176182911326000e+16
2.181862989662507000e-20, 1.707503626889686600e+16
2.556209973277687262e-20, 2.314459843969556800e+16
2.994784483921711958e-20, 2.301143355980655200e+16
3.508606178246820418e-20, 2.457302296873726000e+16
4.110585379389697468e-20, 2.763548381521543200e+16
4.815847462736724022e-20, 3.121625042614691600e+16
5.642112897261175748e-20, 3.262855834833309600e+16
6.610142491380065642e-20, 3.820870513026583200e+16
7.744259030612173168e-20, 4.256362384317863200e+16
9.072958413744709407e-20, 5.064389344522622400e+16
1.062962564296273862e-19, 6.058770641799878400e+16
1.245337365796392977e-19, 7.209800652004824000e+16
1.459002609066893339e-19, 8.735332353809398400e+16
1.709326863329692882e-19, 1.116873240507519360e+17
2.002599794916861493e-19, 1.398521504858959040e+17
2.346190201907295332e-19, 1.814523054319540800e+17
2.748731163110049905e-19, 2.464473252253727680e+17
3.220336953461912371e-19, 3.877695468135513600e+17
3.772857176071966462e-19, 1.657149070003149824e+18
4.420174496254335417e-19, 1.266059724697656320e+18
5.178553458437248030e-19, 9.672679757762877440e+17
6.067049150348568050e-19, 7.389914699212099840e+17
7.107985982605515872e-19, 5.645885176525436160e+17
8.327518613560927099e-19, 4.313448899472143360e+17
9.756289113246611492e-19, 3.295469324405876480e+17
