# M_f [M_sun], P(M_f) [M_sun^-1]
3.554939309087782630e-22, 1.698568395877608448e+19
4.164867986368243590e-22, 1.548243914953402982e+19
4.879443454781822347e-22, 1.402344246465101210e+19
5.716620192126315073e-22, 1.260313224365479936e+19
6.697433165046825470e-22, 1.120638075593331507e+19
7.846526355214260603e-22, 1.029217930288993894e+19
9.192771965891135454e-22, 9.266536151842459648e+18
1.076999586711594898e-21, 8.660573612251431936e+18
1.261782750709730719e-21, 7.842492941417244672e+18
1.478269564475659425e-21, 7.175745380189501440e+18
1.731899492227074708e-21, 6.456616324319376384e+18
2.029045258900605437e-21, 6.043106035356633088e+18
2.377172971725329711e-21, 5.553996500182905856e+18
2.785029714203261248e-21, 5.096075544619049984e+18
3.262863325997498860e-21, 4.792994512937329664e+18
3.822679890934355379e-21, 4.384718231003672064e+18
4.478545402782572019e-21, 4.059865165991375872e+18
5.246939188487060978e-21, 3.751211120381615104e+18
6.147167968996433368e-21, 3.487929942362512384e+18
7.201850961408169007e-21, 3.253614947042941952e+18
8.437488211144998925e-21, 2.998157149065929216e+18
9.885126434120334154e-21, 2.796961433194006528e+18
1.158113909889358002e-20, 2.576981469526816768e+18
1.356814034921921673e-20, 2.362227292794233856e+18
1.589605573027771623e-20, 2.178929694971374336e+18
1.862337662173687523e-20, 2.024707120803425024e+18
2.181862989662507000e-20, 1.881967039579107072e+18
2.556209973277687262e-20, 1.751966779436044288e+18
2.994784483921711958e-20, 1.629682117327470848e+18
3.508606178246820418e-20, 1.543334931807045120e+18
4.110585379389697468e-20, 1.462239669504471040e+18
4.815847462736724022e-20, 1.372959465336926464e+18
5.642112897261175748e-20, 1.294316245922247936e+18
6.610142491380065642e-20, 1.208899598761156096e+18
7.744259030612173168e-20, 1.133156186975885824e+18
9.072958413744709407e-20, 1.052843283018761216e+18
1.062962564296273862e-19, 9.823451226651170560e+17
1.245337365796392977e-19, 9.269262181613263360e+17
1.459002609066893339e-19, 8.609597468174227200e+17
1.709326863329692882e-19, 8.073446702739376640e+17
2.002599794916861493e-19, 7.555773478979952640e+17
2.346190201907295332e-19, 7.101888157387043840e+17
2.748731163110049905e-19, 6.719655622928682240e+17
