# M_f [M_sun], P(M_f) [M_sun^-1]
3.554939309087782630e-22, 1.479137828346807452e+21
4.164867986368243590e-22, 1.189877343807230181e+21
4.879443454781822347e-22, 9.529125469910720840e+20
5.716620192126315073e-22, 7.616670527234240676e+20
6.697433165046825470e-22, 6.046521620573480550e+20
7.846526355214260603e-22, 4.820555865118824202e+20
9.192771965891135454e-22, 3.828480020507108311e+20
1.076999586711594898e-21, 3.009694542450307891e+20
1.261782750709730719e-21, 2.347691227451317944e+20
1.478269564475659425e-21, 1.837386885540211589e+20
1.731899492227074708e-21, 1.431731564418646180e+20
2.029045258900605437e-21, 1.115106042399513805e+20
2.377172971725329711e-21, 8.738051748638970675e+19
2.785029714203261248e-21, 6.769157259615571968e+19
3.262863325997498860e-21, 5.236266533708829491e+19
3.822679890934355379e-21, 4.066929523554572698e+19
4.478545402782572019e-21, 3.130501322502471680e+19
5.246939188487060978e-21, 2.418595136057851904e+19
6.147167968996433368e-21, 1.857598982244686643e+19
7.201850961408169007e-21, 1.431975867696777626e+19
8.437488211144998925e-21, 1.100987092620614042e+19
9.885126434120334154e-21, 8.458936705087310848e+18
1.158113909889358002e-20, 6.473207079300508672e+18
1.356814034921921673e-20, 4.953719865365834752e+18
1.589605573027771623e-20, 3.799983413079234560e+18
1.862337662173687523e-20, 2.927885271128755200e+18
2.181862989662507000e-20, 2.247338936839692288e+18
2.556209973277687262e-20, 1.716964011977615872e+18
2.994784483921711958e-20, 1.311758262228050944e+18
3.508606178246820418e-20, 1.002181598752105600e+18
4.110585379389697468e-20, 7.656654322659968000e+17
4.815847462736724022e-20, 5.849673900389441280e+17
5.642112897261175748e-20, 4.469143218288770560e+17
6.610142491380065642e-20, 3.414419580593507840e+17
7.744259030612173168e-20, 2.608612099212223680e+17
9.072958413744709407e-20, 1.992976236087996800e+17
1.062962564296273862e-19, 1.522631240885132800e+17
1.245337365796392977e-19, 1.163288278976272320e+17
1.459002609066893339e-19, 8.887507254986540800e+16
1.709326863329692882e-19, 6.790043932785896000e+16
2.002599794916861493e-19, 5.187584694605392800e+16
2.346190201907295332e-19, 3.963307929977229600e+16
2.748731163110049905e-19, 3.027962081111692400e+16
