# M_f [M_sun], P(M_f) [M_sun^-1]
3.548962714117586356e-25, 1.882824726326550725e+21
4.143897244964681628e-25, 1.649671926051794584e+21
4.838564324307219260e-25, 1.489162003316969308e+21
5.649682734992169490e-25, 1.320172871615176245e+21
6.596773932655885372e-25, 1.155279991941902107e+21
7.702631875067320117e-25, 1.023903734332789883e+21
8.993871611864740876e-25, 9.218752242660269097e+20
1.050156983777701776e-24, 8.145304861629199155e+20
1.226201282573591067e-24, 7.103955935575282811e+20
1.431756974063410238e-24, 6.274721062587931034e+20
1.671771235205982412e-24, 5.439670638444968673e+20
1.952020568777308980e-24, 4.835987223857838162e+20
2.279249828377506683e-24, 4.271663860637769400e+20
2.661334549057996954e-24, 3.842892392624851517e+20
3.107470490433956329e-24, 3.406329786723289006e+20
3.628394954078874531e-24, 3.087186456698760069e+20
4.236645201720489617e-24, 2.776478339178706371e+20
4.946860193674237954e-24, 2.478199202333485302e+20
5.776132909553281211e-24, 2.176477706622077501e+20
6.744421730674377979e-24, 1.895342729865145221e+20
7.875030785036159497e-24, 1.704925067178063299e+20
9.195170815492024403e-24, 1.522816769373209231e+20
1.073661406971731716e-23, 1.354875497663539282e+20
1.253645897342513110e-23, 1.210581211401694413e+20
1.463802299047425984e-23, 1.073190567966621041e+20
1.709188515862952929e-23, 9.605054619085288243e+19
1.995710339202826004e-23, 8.660109775967576064e+19
2.330263584757434168e-23, 7.678132697919597773e+19
2.720900056375714993e-23, 6.881088018204452454e+19
3.177021331497144511e-23, 6.137450592208145613e+19
3.709605032032140160e-23, 5.431159225983308595e+19
4.331469026427151886e-23, 4.893906255695672934e+19
5.057579921552993781e-23, 4.402822519392243712e+19
5.905413268993206007e-23, 3.953769369828310221e+19
6.895374154936251738e-23, 3.581547116732634317e+19
8.051288296148122256e-23, 3.208650831600434381e+19
9.400975461394818512e-23, 2.895495523643378893e+19
1.097691901903814394e-22, 2.608339986182361088e+19
1.281704772502877614e-22, 2.341743214179971482e+19
1.496564856684707842e-22, 2.134932124133386650e+19
1.747443263311006971e-22, 1.919292679176217395e+19
2.040377966148069427e-22, 1.735673094908071322e+19
2.382419121782715813e-22, 1.572431621207740006e+19
2.781798748077653061e-22, 1.424889333142469632e+19
3.248128846873889935e-22, 1.302645438621776486e+19
3.792632739224971983e-22, 1.182116836790617088e+19
4.428415180784706451e-22, 1.070628799447503667e+19
5.170777758305154950e-22, 9.716923050194774016e+18
6.037587157996679498e-22, 8.843366715931167744e+18
7.049705168986915043e-22, 8.051074317386296320e+18
8.231490770914376496e-22, 7.326920931413744640e+18
9.611386389565238025e-22, 6.601762602954771456e+18
1.122260243016206653e-21, 6.024239538341693440e+18
1.310391656319376225e-21, 5.511114571130788864e+18
1.530060699946438888e-21, 5.079500353917616128e+18
1.786554221579997443e-21, 4.672134901060422656e+18
2.086045335820364214e-21, 4.288813270984845824e+18
2.435741994580735524e-21, 3.962567732773975040e+18
2.844060463254972146e-21, 3.619930952876643328e+18
3.320827877766432378e-21, 3.329118023431065600e+18
3.877518757505402961e-21, 3.070964373349443072e+18
4.527531166390591196e-21, 2.842496638358837248e+18
5.286509168514232234e-21, 2.622069455276720640e+18
6.172719339017780476e-21, 2.427430573141073920e+18
7.207490391810404495e-21, 2.251817439862931968e+18
8.415726504796120160e-21, 2.090009948543162112e+18
9.826506696977815998e-21, 1.932689409293173760e+18
1.147378468284583961e-20, 1.797974902131997440e+18
1.339720604767883656e-20, 1.669359935726319616e+18
1.564306241098517039e-20, 1.551588156295582720e+18
1.826540554225283020e-20, 1.452733674491793664e+18
2.132734824280151716e-20, 1.370776780723700992e+18
2.490258330249094031e-20, 1.284983411094205696e+18
2.907715708851964547e-20, 1.211849844089318144e+18
3.395154045186442600e-20, 1.143547265241151104e+18
3.964304679255259240e-20, 1.084823641952640384e+18
4.628865548014387372e-20, 1.028890042275861376e+18
5.404830858161902066e-20, 9.760226394481923840e+17
6.310876024011991138e-20, 9.257621169609029120e+17
7.368807134881180046e-20, 8.776606606481222400e+17
8.604085769467593336e-20, 8.327857595009534720e+17
1.004644178810475172e-19, 7.944825093610081280e+17
1.173058885116423403e-19, 7.556874268766176000e+17
1.369705988422578918e-19, 7.197456532883121920e+17
1.599318259743174272e-19, 6.845321609263197440e+17
1.867421853717413878e-19, 6.547837788849012480e+17
2.180469308404809387e-19, 6.254271401974627840e+17
2.545994840657364937e-19, 5.996986591599759360e+17
2.972795674613780767e-19, 6.008302860486741760e+17
3.471143767408655819e-19, 1.362349532104548096e+18
4.053033027769513840e-19, 1.046804851916430336e+18
