# Columns: R orbit [pc], surv_prob, MC radial distrib (dGamma/dR [pc^-1 s^-1])
5.284770204694519435e+01, 3.137851083442762982e-08
5.903890782763249945e+01, 3.443679751968139210e-08
6.595542478617888094e+01, 3.846381950407432101e-08
7.368222446502095124e+01, 4.582380604724487558e-08
8.231423297953507756e+01, 5.540925332134825417e-08
9.195749721462016169e+01, 6.276018141478345372e-08
1.027304876433610872e+02, 7.101979181954956656e-08
1.147655537733020736e+02, 7.908061063198767331e-08
1.282105501009355635e+02, 8.940292226831944903e-08
1.432306525497589575e+02, 9.605239088356636898e-08
1.600103877074003265e+02, 1.303001468470031645e-07
1.787558997916165993e+02, 1.286681318422745509e-07
1.996974831955403999e+02, 1.546741491784774226e-07
2.230924117252739336e+02, 1.720468187997636187e-07
2.492280992878862378e+02, 1.886016182171732930e-07
2.784256308598396572e+02, 2.226406374019103523e-07
3.110437071148807604e+02, 2.442713787875442604e-07
3.474830511723650943e+02, 2.566246036112483554e-07
3.881913316042777637e+02, 2.721916062404616488e-07
4.336686621816065781e+02, 2.977120314122394402e-07
4.844737459261492631e+02, 3.244354579637835713e-07
5.412307389493225855e+02, 3.540108260959042038e-07
6.046369184023494654e+02, 3.901053007123113920e-07
6.754712487409561845e+02, 3.971754019781035733e-07
7.546039515437796581e+02, 4.352085225036889654e-07
8.430071964526541706e+02, 4.639651467269861037e-07
9.417670445762749978e+02, 4.807238751043304315e-07
1.052096791085630684e+03, 5.046170616426040412e-07
1.175351870919105522e+03, 5.263823804691379694e-07
1.313046510718427498e+03, 5.434572971849907905e-07
1.466872331569631797e+03, 5.454267248778643731e-07
1.638719131089444090e+03, 5.255687148902564108e-07
1.830698100171417309e+03, 4.975314321327209461e-07
2.045167759616708281e+03, 4.577711953214556170e-07
2.284762935288990320e+03, 4.178902220920366973e-07
2.552427127762217424e+03, 3.725861429914509109e-07
2.851448674132330325e+03, 3.330531528544084668e-07
3.185501146251913724e+03, 3.131711825349919295e-07
3.558688481692563983e+03, 3.205087407782329986e-07
3.975595401882746501e+03, 3.617992576308811259e-07
4.441343736823509971e+03, 4.241826265182620592e-07
4.961655348348546795e+03, 4.940130815024647823e-07
5.542922424960239368e+03, 5.545098817222465699e-07
6.192286011835419231e+03, 5.731168072050242694e-07
6.917723740766163246e+03, 5.500547906616836529e-07
7.728147837824985800e+03, 4.748163057635826817e-07
8.633514612808796301e+03, 3.714058208064734027e-07
9.644946775573191189e+03, 2.581052518065260893e-07
1.077487008195092858e+04, 1.569700609173629809e-07
1.203716598799184794e+04, 8.361778897286738102e-08
1.344734218792855427e+04, 3.776042721038641643e-08
1.502272313097934057e+04, 1.438056976169869549e-08
1.678266285754611454e+04, 4.579920579368179739e-09
1.874878276956548143e+04, 1.183978950168593425e-09
2.094523725609495159e+04, 2.504386819494915425e-10
2.339901043742664478e+04, 4.097996774250217586e-11
2.614024767332138435e+04, 5.063073010955313993e-12
2.920262590804389038e+04, 4.687190928892724556e-13
3.262376740200186396e+04, 3.145803155385648402e-14
3.644570193280985404e+04, 1.457945858324550660e-15
4.071538314406054269e+04, 4.382118428963506153e-17
4.548526538530696416e+04, 8.580071286103579677e-19
5.081394812991248909e+04, 9.822898612594740725e-21
5.676689588764085056e+04, 6.295368696434702778e-23
