# M_f [M_sun], P(M_f) [M_sun^-1]
3.554939309087782630e-22, 2.868747595988846182e+19
4.164867986368243590e-22, 2.719989266226757222e+19
4.879443454781822347e-22, 2.711212130348269568e+19
5.716620192126315073e-22, 2.625308505271175168e+19
6.697433165046825470e-22, 2.427638877376972390e+19
7.846526355214260603e-22, 2.322976897841216717e+19
9.192771965891135454e-22, 2.121927797170865766e+19
1.076999586711594898e-21, 1.989912877699941990e+19
1.261782750709730719e-21, 1.885557369944492032e+19
1.478269564475659425e-21, 1.752156430176502579e+19
1.731899492227074708e-21, 1.659613368900863590e+19
2.029045258900605437e-21, 1.570071011195609088e+19
2.377172971725329711e-21, 1.507429593173716992e+19
2.785029714203261248e-21, 1.376348911413480038e+19
3.262863325997498860e-21, 1.314433462743492403e+19
3.822679890934355379e-21, 1.243311962837432525e+19
4.478545402782572019e-21, 1.173461044724827341e+19
5.246939188487060978e-21, 1.092152456845342310e+19
6.147167968996433368e-21, 1.018858954114877440e+19
7.201850961408169007e-21, 9.557243888684163072e+18
8.437488211144998925e-21, 8.993865194984045568e+18
9.885126434120334154e-21, 8.306546831393888256e+18
1.158113909889358002e-20, 7.707287404572934144e+18
1.356814034921921673e-20, 7.210881215467104256e+18
1.589605573027771623e-20, 6.613589232475474944e+18
1.862337662173687523e-20, 6.032773402377911296e+18
2.181862989662507000e-20, 5.645494397448962048e+18
2.556209973277687262e-20, 5.172792187209904128e+18
2.994784483921711958e-20, 4.729235039916786688e+18
3.508606178246820418e-20, 4.235031126552628224e+18
4.110585379389697468e-20, 3.789975578319379456e+18
4.815847462736724022e-20, 3.410568279557419520e+18
5.642112897261175748e-20, 3.027392253521772544e+18
6.610142491380065642e-20, 2.747816461087277056e+18
7.744259030612173168e-20, 2.466861747960452096e+18
9.072958413744709407e-20, 2.172483642115432704e+18
1.062962564296273862e-19, 1.923303086523000320e+18
1.245337365796392977e-19, 1.695259337390064640e+18
1.459002609066893339e-19, 1.483406428772781824e+18
1.709326863329692882e-19, 1.290696593771680000e+18
2.002599794916861493e-19, 1.100840944890099840e+18
2.346190201907295332e-19, 9.256754401563473920e+17
2.748731163110049905e-19, 7.653229529925703680e+17
3.220336953461912371e-19, 6.274712070743944960e+17
3.772857176071966462e-19, 4.952141816424440320e+17
4.420174496254335417e-19, 3.783429878613249920e+17
5.178553458437248030e-19, 2.890535484849816320e+17
6.067049150348568050e-19, 2.208365334429950400e+17
7.107985982605515872e-19, 1.687188230648999360e+17
8.327518613560927099e-19, 1.289009604190006400e+17
9.756289113246611492e-19, 9.848016537283100800e+16
1.143019687836545591e-18, 7.523871769717681600e+16
1.339130064327491740e-18, 5.748228203399423200e+16
1.568887525095887845e-18, 4.391638838310026400e+16
1.838064973649593682e-18, 3.355206335536124000e+16
2.153425783120427356e-18, 2.563373257340482400e+16
2.522893733294045941e-18, 1.958413819994875200e+16
2.955752104106024924e-18, 1.496225600139933800e+16
3.462876928042592619e-18, 1.143114403941432200e+16
4.057010262163551902e-18, 8.733379113257891000e+15
4.753080346001232680e-18, 6.672290233847582000e+15
5.568576689647165650e-18, 5.097621022441796000e+15
6.523989516518419787e-18, 3.894575801966551500e+15
7.643324602276253526e-18, 2.975450825098403500e+15
8.954706445778864130e-18, 2.273240543452353000e+15
1.049108492738794133e-17, 1.736752805593625000e+15
1.229106321017912490e-17, 1.326876874699972750e+15
1.439986768596596156e-17, 1.013732198930752500e+15
1.687048433707514473e-17, 7.744900757135741250e+14
1.976499006618515979e-17, 5.917094061049861250e+14
2.315611244532450716e-17, 4.520652132960302500e+14
2.712905707440121844e-17, 3.453772324114905000e+14
3.178364846361432647e-17, 2.638677543854892188e+14
3.723683823172148955e-17, 2.015946196519580312e+14
4.362564364134417995e-17, 1.540180260648497188e+14
