# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
2.045167759616708281e+03, 7.753759619596248820e-01, 5.130085392279304564e+06, 3.977744895973585546e+06, 1.341863049307734473e+06, 6.183743946971478181e+03, 4.475947893776956334e+03
2.284762935288990320e+03, 7.892821007495791630e-01, 5.516822833819451742e+06, 4.354329515740263276e+06, 1.657126298080975423e+06, 7.790031319077397711e+03, 5.832759650682950451e+03
2.552427127762217424e+03, 8.034428890526181810e-01, 5.916139923989687115e+06, 4.753280552569811232e+06, 2.025668542794914683e+06, 9.777835739530273713e+03, 7.558681087065320753e+03
2.851448674132330325e+03, 8.178624928600807253e-01, 6.323890172798627056e+06, 5.172072581298451871e+06, 2.446288234123406466e+06, 1.242570331835111574e+04, 9.930514461103730355e+03
3.185501146251913724e+03, 8.313705710555432393e-01, 6.741039040974157862e+06, 5.604301477002397180e+06, 2.917647267509434838e+06, 1.555533036557121159e+04, 1.279136172075983450e+04
3.558688481692563983e+03, 8.451877452283907965e-01, 7.158499389486482367e+06, 6.050275958218892105e+06, 3.436312438788857777e+06, 1.936746758648433024e+04, 1.638044525856449400e+04
3.975595401882746501e+03, 8.582527322918138690e-01, 7.568042409718220122e+06, 6.495293076240985654e+06, 3.997212433173005469e+06, 2.376174224505379971e+04, 2.062274686527714221e+04
4.441343736823509971e+03, 8.715997315434013126e-01, 7.983596277991238050e+06, 6.958500372648061253e+06, 4.600070069626322947e+06, 2.924056514733263248e+04, 2.598602210866562382e+04
4.961655348348546795e+03, 8.839207511303553977e-01, 8.387480221863240935e+06, 7.413867817800356075e+06, 5.218577359438252635e+06, 3.538251365969187464e+04, 3.208406953186908868e+04
5.542922424960239368e+03, 8.969220055154815130e-01, 8.777772587273370475e+06, 7.872977392936048098e+06, 5.862052803568966687e+06, 4.233428056170164200e+04, 3.905959726292675623e+04
6.192286011835419231e+03, 9.087679517589218881e-01, 9.149446195911487564e+06, 8.314723479186941870e+06, 6.509066724136721343e+06, 4.986796292959238781e+04, 4.666389138795559847e+04
6.917723740766163246e+03, 9.199562982934796906e-01, 9.497721263657124713e+06, 8.737488495937278494e+06, 7.143826244683985598e+06, 5.833610401853259827e+04, 5.525575559747939405e+04
7.728147837824985800e+03, 9.301768802618370913e-01, 9.818266731468353420e+06, 9.132724717855816707e+06, 7.747415918518162332e+06, 6.720449425720328873e+04, 6.431407125646627537e+04
8.633514612808796301e+03, 9.398072545895929109e-01, 1.008834832850448415e+07, 9.481102945955308154e+06, 8.304137188141888939e+06, 7.690142217480659019e+04, 7.417632928840737441e+04
9.644946775573191189e+03, 9.488370836547552756e-01, 1.032410804358867928e+07, 9.795896567415283993e+06, 8.815196215187821537e+06, 8.613700994138231908e+04, 8.370568678365607047e+04
1.077487008195092858e+04, 9.566593927972897315e-01, 1.052363640377015248e+07, 1.006753561205020733e+07, 9.262847612226691097e+06, 9.544540002372837625e+04, 9.332514718702062964e+04
