# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
2.590000000000000000e+03, 9.946999999999721620e-01, 5.443731408165090717e+06, 5.414879631701664068e+06, 5.338612954672870226e+06, 1.447051914570880172e+03, 1.412228046435113811e+03
2.860000000000000000e+03, 9.962899999999828005e-01, 5.841237906991370954e+06, 5.819566914356332272e+06, 5.754962823104707524e+06, 1.570994000395340890e+03, 1.543007106873723160e+03
3.160000000000000000e+03, 9.973299999999867271e-01, 6.254463247178583406e+06, 6.237763830308533274e+06, 6.190542632792099379e+06, 1.681129544485378801e+03, 1.662960803685996552e+03
3.490000000000000000e+03, 9.978300000000094316e-01, 6.676857120386596769e+06, 6.662368340435421094e+06, 6.624644097705401480e+06, 1.812786125657155480e+03, 1.780146600728731300e+03
3.850000000000000000e+03, 9.985699999999987364e-01, 7.102160085731178522e+06, 7.092003996808573604e+06, 7.063595356465622783e+06, 1.891734024738204880e+03, 1.880462983689967132e+03
4.250000000000000000e+03, 9.990399999999969305e-01, 7.534867691503726877e+06, 7.527634218519859947e+06, 7.506461240306666121e+06, 1.983980196643434510e+03, 1.975120466666173570e+03
4.690000000000000000e+03, 9.993300000000004957e-01, 7.966717032256144099e+06, 7.961379331844536588e+06, 7.946322236653584056e+06, 2.197290963724473386e+03, 2.190890846897718347e+03
5.170000000000000000e+03, 9.995000000000012763e-01, 8.390176386408053339e+06, 8.385981298214860260e+06, 8.373731640690736473e+06, 2.326060760699959701e+03, 2.316427484697953332e+03
5.710000000000000000e+03, 9.996399999999999730e-01, 8.813335541075577959e+06, 8.810162740280790254e+06, 8.802054471582999453e+06, 2.359713820329141527e+03, 2.358336686671234020e+03
6.300000000000000000e+03, 9.997099999999979891e-01, 9.218495342071615160e+06, 9.215821978422395885e+06, 9.211304915704749525e+06, 2.424313346252207793e+03, 2.422352527542169810e+03
6.960000000000000000e+03, 9.998099999999999765e-01, 9.609618829375980422e+06, 9.607793001798398793e+06, 9.603180384760297835e+06, 2.528376988428157347e+03, 2.526085739115779234e+03
7.680000000000000000e+03, 9.997900000000000675e-01, 9.971329032075541094e+06, 9.969235052978806198e+06, 9.967539927043354139e+06, 2.651414580368240877e+03, 2.650580288581282730e+03
