# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3]
2.094523725609495159e+04, 9.904170736501781702e-01, 1.065548759732346423e+07, 1.055337684445687383e+07, 1.055287644730508886e+07
2.339901043742664478e+04, 9.918496498463044153e-01, 1.051761995725015551e+07, 1.043189767181506939e+07, 1.043154937144804746e+07
2.614024767332138435e+04, 9.932437515007416229e-01, 1.030916001191743091e+07, 1.023950876505829953e+07, 1.023917328934377991e+07
2.920262590804389038e+04, 9.944137245210916687e-01, 1.005877068124710955e+07, 1.000257961724249646e+07, 1.000237442725593038e+07
3.262376740200186396e+04, 9.954267466985685653e-01, 9.782417930876772851e+06, 9.737680455778408796e+06, 9.737539808732274920e+06
3.644570193280985404e+04, 9.962098184507278686e-01, 9.479982987576652318e+06, 9.444052130969725549e+06, 9.443918461068999022e+06
4.071538314406054269e+04, 9.968945237075487187e-01, 9.093474003991611302e+06, 9.065234436056192964e+06, 9.065129629573486745e+06
4.548526538530696416e+04, 9.974385418563901373e-01, 8.619371823412578553e+06, 8.597293663262696937e+06, 8.597205963881449774e+06
5.081394812991248909e+04, 9.979273256326223196e-01, 8.070010909840091132e+06, 8.053284405082806945e+06, 8.053263656358089298e+06
5.676689588764085056e+04, 9.982096459475824357e-01, 7.392507890543064103e+06, 7.379272684083701111e+06, 7.379251284741291776e+06
