# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
2.590000000000000000e+03, 7.983599999989400287e-01, 5.443731408165090717e+06, 4.346057407016911544e+06, 1.627839002983493730e+06, 5.633320674808680451e+03, 3.349517314043302576e+03
2.860000000000000000e+03, 8.173999999991515830e-01, 5.841237906991370954e+06, 4.774627865169790573e+06, 2.075158178837061860e+06, 7.589643638351925802e+03, 4.879259169132973511e+03
3.160000000000000000e+03, 8.326999999991653301e-01, 6.254463247178583406e+06, 5.208091545920385979e+06, 2.609737334511348978e+06, 1.017201696320503470e+04, 7.097910928495389271e+03
3.490000000000000000e+03, 8.504900000006525573e-01, 6.676857120386596769e+06, 5.678600212321953848e+06, 3.185127920717424713e+06, 1.330490865881894388e+04, 9.893466941161266732e+03
3.850000000000000000e+03, 8.637099999998747446e-01, 7.102160085731178522e+06, 6.134206687645986676e+06, 3.836657899909839500e+06, 1.774209527797004921e+04, 1.406519031757035009e+04
4.250000000000000000e+03, 8.782499999996069562e-01, 7.534867691503726877e+06, 6.617497550060186535e+06, 4.543901961351666600e+06, 2.240557422627973210e+04, 1.840304154047410702e+04
4.690000000000000000e+03, 8.951100000000806745e-01, 7.966717032256144099e+06, 7.131088082743439823e+06, 5.282809731261435896e+06, 2.827116035573761837e+04, 2.426078232725821363e+04
5.170000000000000000e+03, 9.070900000002425356e-01, 8.390176386408053339e+06, 7.610645098348915577e+06, 6.058714172159068286e+06, 3.580847822596754850e+04, 3.202892076171192093e+04
5.710000000000000000e+03, 9.199999999999874944e-01, 8.813335541075577959e+06, 8.108268697789421305e+06, 6.825840243207313120e+06, 4.487703729167217534e+04, 4.148944103658661334e+04
6.300000000000000000e+03, 9.329399999995358073e-01, 9.218495342071615160e+06, 8.600303044428013265e+06, 7.605350842159248888e+06, 5.529612315341830254e+04, 5.202665680546079238e+04
6.960000000000000000e+03, 9.449099999999941435e-01, 9.609618829375980422e+06, 9.080224928065601736e+06, 8.314722692117431201e+06, 6.762081646236476081e+04, 6.498693085396949027e+04
7.680000000000000000e+03, 9.564200000000201429e-01, 9.971329032075541094e+06, 9.536778512857889757e+06, 8.979979499707048759e+06, 7.939493702475083410e+04, 7.742202442157805490e+04
8.470000000000000000e+03, 9.665000000000587566e-01, 1.030121911765951663e+07, 9.956128277218528092e+06, 9.568287377439327538e+06, 9.426015652999580198e+04, 9.248229684053582605e+04
9.350000000000000000e+03, 9.753400000001709591e-01, 1.059867476232248545e+07, 1.033731144268542528e+07, 1.007594812304836512e+07, 1.061272481602810440e+05, 1.048134351823255274e+05
1.032000000000000000e+04, 9.816300000001217940e-01, 1.085499426971866004e+07, 1.065558802498525009e+07, 1.049536830956526473e+07, 1.208623682475126698e+05, 1.200953122703891422e+05
1.139000000000000000e+04, 9.869400000000002615e-01, 1.106597722843311355e+07, 1.092145556582977995e+07, 1.082960795483378693e+07, 1.335252141550097149e+05, 1.329117786707157502e+05
1.257000000000000000e+04, 9.920000000000489537e-01, 1.122781943145558983e+07, 1.113799687600449473e+07, 1.109106459078129753e+07, 1.456636549177244306e+05, 1.452630557068017952e+05
1.387000000000000000e+04, 9.948799999999936583e-01, 1.133753140269315429e+07, 1.127948324191129394e+07, 1.125782855693212338e+07, 1.485018287447711045e+05, 1.483837830091429933e+05
1.531000000000000000e+04, 9.967199999999987181e-01, 1.139343937299718522e+07, 1.135606889185374044e+07, 1.134946069701739959e+07, 1.576718992113413115e+05, 1.574555584053762432e+05
1.690000000000000000e+04, 9.984800000000086939e-01, 1.139395113705646619e+07, 1.137663233132823929e+07, 1.137218869038481265e+07, 1.627198975782371126e+05, 1.625549395101945265e+05
1.865000000000000000e+04, 9.992100000000011528e-01, 1.133926085272638500e+07, 1.133030283665274456e+07, 1.132939569578452781e+07, 1.617852922559440194e+05, 1.617556606689326291e+05
2.058000000000000000e+04, 9.996100000000004426e-01, 1.123058150952210277e+07, 1.122620158273339458e+07, 1.122620158273339458e+07, 1.652309706047294021e+05, 1.652309706047294021e+05
2.272000000000000000e+04, 9.999199999999999200e-01, 1.106911227944797277e+07, 1.106822675046561658e+07, 1.106822675046561658e+07, 1.597217841425010702e+05, 1.597217841425010702e+05
2.507000000000000000e+04, 9.999600000000000710e-01, 1.085945744440381601e+07, 1.085902306610604003e+07, 1.085902306610604003e+07, 1.585419991213445901e+05, 1.585419991213445901e+05
2.767000000000000000e+04, 9.999899999999999345e-01, 1.060404577268343978e+07, 1.060393973222571239e+07, 1.060393973222571239e+07, 1.508050896270429075e+05, 1.508050896270429075e+05
3.054000000000000000e+04, 1.000000000000000000e+00, 1.030783544946077466e+07, 1.030783544946077466e+07, 1.030783544946077466e+07, 1.555789218142182508e+05, 1.555789218142182508e+05
3.370000000000000000e+04, 1.000000000000000000e+00, 9.976696094624362886e+06, 9.976696094624362886e+06, 9.976696094624362886e+06, 1.448089819378565589e+05, 1.448089819378565589e+05
3.719000000000000000e+04, 1.000000000000000000e+00, 9.615021632359474897e+06, 9.615021632359474897e+06, 9.615021632359474897e+06, 1.395058798297699250e+05, 1.395058798297699250e+05
4.105000000000000000e+04, 1.000000000000000000e+00, 9.227758494206039235e+06, 9.227758494206039235e+06, 9.227758494206039235e+06, 1.344072463293799956e+05, 1.344072463293799956e+05
4.530000000000000000e+04, 1.000000000000000000e+00, 8.822201797371417284e+06, 8.822201797371417284e+06, 8.822201797371417284e+06, 1.287557281664939801e+05, 1.287557281664939801e+05
5.000000000000000000e+04, 1.000000000000000000e+00, 8.401998761022495106e+06, 8.401998761022495106e+06, 8.401998761022495106e+06, 1.233060807639465493e+05, 1.233060807639465493e+05
