# Columns: R orbit [pc], surv_prob, MC radial distrib (dGamma/dR [pc^-1 s^-1])
5.284770204694519435e+01, 4.776529637247046398e-05
5.903890782763249945e+01, 5.282925248023351641e-05
6.595542478617888094e+01, 6.941793301925464640e-05
7.368222446502095124e+01, 7.776979151922660649e-05
8.231423297953507756e+01, 8.955993576624173035e-05
9.195749721462016169e+01, 1.026632162616680002e-04
1.027304876433610872e+02, 1.235688193320810292e-04
1.147655537733020736e+02, 1.487973030731606352e-04
1.282105501009355635e+02, 1.642352127373757184e-04
1.432306525497589575e+02, 1.915853526018837830e-04
1.600103877074003265e+02, 2.227863660577455215e-04
1.787558997916165993e+02, 2.729741241856185950e-04
1.996974831955403999e+02, 2.999842807931206272e-04
2.230924117252739336e+02, 3.599662390825976617e-04
2.492280992878862378e+02, 4.213634194619795387e-04
2.784256308598396572e+02, 4.841370478216158518e-04
3.110437071148807604e+02, 6.196204026877711289e-04
3.474830511723650943e+02, 7.389321618000119522e-04
3.881913316042777637e+02, 8.813629006614023473e-04
4.336686621816065781e+02, 1.002446199658880511e-03
4.844737459261492631e+02, 1.052105471984829269e-03
5.412307389493225855e+02, 1.164346279239646944e-03
6.046369184023494654e+02, 1.315526454118129624e-03
6.754712487409561845e+02, 1.469595001333033482e-03
7.546039515437796581e+02, 1.667477011878210546e-03
8.430071964526541706e+02, 1.857777872497143453e-03
9.417670445762749978e+02, 2.093990377232297917e-03
1.052096791085630684e+03, 2.242633962293999646e-03
1.175351870919105522e+03, 2.334111005095546639e-03
1.313046510718427498e+03, 2.476745143699222041e-03
1.466872331569631797e+03, 2.554520833513669771e-03
1.638719131089444090e+03, 2.540562759005160921e-03
1.830698100171417309e+03, 2.458014967074432806e-03
2.045167759616708281e+03, 2.313255179722621506e-03
2.284762935288990320e+03, 2.102959644057786435e-03
2.552427127762217424e+03, 1.874411221269592582e-03
2.851448674132330325e+03, 1.685582240299849602e-03
3.185501146251913724e+03, 1.577090575000203877e-03
3.558688481692563983e+03, 1.650515472741017958e-03
3.975595401882746501e+03, 1.844490039176857783e-03
4.441343736823509971e+03, 2.159327064208163473e-03
4.961655348348546795e+03, 2.524908113045712301e-03
5.542922424960239368e+03, 2.817252549510312377e-03
6.192286011835419231e+03, 2.948219372696576478e-03
6.917723740766163246e+03, 2.806820491886879553e-03
7.728147837824985800e+03, 2.425104362353722089e-03
8.633514612808796301e+03, 1.883094402836402344e-03
9.644946775573191189e+03, 1.297607463298589047e-03
1.077487008195092858e+04, 7.904793760020336181e-04
1.203716598799184794e+04, 4.236408027667964808e-04
1.344734218792855427e+04, 1.914611998827865668e-04
1.502272313097934057e+04, 7.316968445841158292e-05
1.678266285754611454e+04, 2.336427081760737555e-05
1.874878276956548143e+04, 6.092107650320055728e-06
2.094523725609495159e+04, 1.271359873611572862e-06
2.339901043742664478e+04, 2.060504968011750018e-07
2.614024767332138435e+04, 2.570273668472634396e-08
2.920262590804389038e+04, 2.371828877450095451e-09
3.262376740200186396e+04, 1.591060743404528341e-10
3.644570193280985404e+04, 7.193682268079197313e-12
4.071538314406054269e+04, 2.171579645483589435e-13
4.548526538530696416e+04, 4.198359687230289546e-15
5.081394812991248909e+04, 4.797780143252854713e-17
5.676689588764085056e+04, 3.123940911189603461e-19
