# Binding energy = beta*G_N*M_AMC^2/R_AMC
# Columns: deltaE/Ebind, deltaM/M, f_ej, E_i_unbound/E_i_total
1.846424942895544350e-03 5.380796763089523704e-02 5.523587463244059581e-01 9.686188376553238766e-04
2.072921779595371904e-03 5.809453816962121403e-02 5.799615900234954546e-01 1.067921919791167381e-03
2.327202478960409531e-03 6.244262918447308214e-02 6.052873549904159711e-01 1.170825417390623921e-03
2.612675225563328932e-03 6.754808981507971766e-02 6.345363291869183797e-01 1.304010070896949964e-03
2.933166278390045463e-03 7.279098430006306075e-02 6.630949572411921622e-01 1.449275408386951729e-03
3.292971255097151308e-03 7.670380638841181598e-02 6.805770203416187103e-01 1.547914614061866954e-03
3.696912707195028347e-03 8.141316669068654477e-02 7.012744939754634865e-01 1.678890295137634107e-03
4.150404757850476717e-03 8.677305636710778980e-02 7.242501013187588876e-01 1.842148349179296854e-03
4.659525668664682083e-03 9.127967317546066550e-02 7.414657155280997003e-01 1.977930020309057960e-03
5.231099308056263129e-03 9.553494112053433074e-02 7.557476603359233325e-01 2.103832343181193023e-03
5.872786613189483196e-03 1.006057506287900138e-01 7.725080588991880548e-01 2.270164518561191246e-03
6.593188271333548338e-03 1.059908227719780632e-01 7.895828724699966994e-01 2.459474336445197779e-03
7.401959996915644276e-03 1.099657344217139371e-01 7.999910910777646711e-01 2.587135420662605399e-03
8.309941949353395751e-03 1.146232142575527996e-01 8.117806677680782235e-01 2.750179705662176427e-03
9.329304026284686302e-03 1.199944642624449359e-01 8.250656478505998814e-01 2.956819008265650604e-03
1.047370897959450792e-02 1.246954268811872463e-01 8.355899821978848285e-01 3.137766653813490493e-03
1.175849554052158137e-02 1.288983620025650756e-01 8.437049016994154771e-01 3.294126000624672274e-03
1.320088400831419435e-02 1.339624195235236404e-01 8.533409446432969059e-01 3.502758624851483402e-03
1.482020705798860020e-02 1.394251682842440332e-01 8.633468312304513059e-01 3.746293268235395199e-03
1.663816886076130777e-02 1.434754843945819647e-01 8.695306341560444796e-01 3.911611272378773783e-03
1.867913599020784576e-02 1.481096367695226568e-01 8.762722903036849198e-01 4.116020039981154420e-03
2.097046401323235040e-02 1.535004627225030061e-01 8.839461300356268314e-01 4.377901792322493220e-03
2.354286414322420348e-02 1.583199726006474239e-01 8.902037464808680856e-01 4.614405345270337737e-03
2.643081486974108163e-02 1.625096997380793551e-01 8.948510585446945997e-01 4.809839152431914094e-03
2.967302408188872420e-02 1.675714616664339129e-01 9.003827498433549792e-01 5.073977360140016248e-03
3.331294787934677148e-02 1.730852489060952515e-01 9.061949804964237742e-01 5.385460347300368919e-03
3.739937302478801850e-02 1.771740074753868077e-01 9.098013169847029014e-01 5.597548421903400170e-03
4.198707084443914495e-02 1.818166141187029516e-01 9.136794211827479195e-01 5.855499255631823989e-03
4.713753134116728527e-02 1.872339490852300559e-01 9.181069664333477709e-01 6.188862712819364134e-03
5.291978735958447616e-02 1.921095366568057461e-01 9.217514028998693432e-01 6.491630946424234959e-03
5.941133984965039916e-02 1.963015938189247023e-01 9.244195530678650519e-01 6.738573672906193746e-03
6.669919663030128565e-02 2.013891973098126953e-01 9.276107419586931968e-01 7.074111646813976625e-03
7.488103857590031054e-02 2.069389824700757496e-01 9.309675700725096315e-01 7.471287093430514260e-03
8.406652885618333404e-02 2.110370068939264876e-01 9.330405138770829776e-01 7.739749520693209664e-03
9.437878277775391123e-02 2.157081949697669532e-01 9.352785671684330504e-01 8.067427967119587817e-03
1.059560179277617004e-01 2.211634884354254649e-01 9.735586630650209239e-01 8.492427435702611452e-03
1.189534067370320719e-01 2.260300667966491928e-01 9.756382456302717943e-01 8.874047454284307579e-03
1.335451562929900193e-01 2.302499979835500310e-01 9.771783003106870868e-01 9.188696010905939016e-03
1.499268432786046990e-01 2.353801484414154432e-01 9.790234496198101377e-01 9.617056122348432295e-03
1.683180353330958334e-01 2.409554069278128374e-01 9.809533277712337851e-01 1.012163848642631640e-02
1.889652339691211547e-01 2.450340095251288819e-01 9.821292445503776447e-01 1.045701122709554766e-02
2.121451784910632077e-01 2.497513408891620101e-01 9.834239284539898485e-01 1.087609744308020918e-02
2.381685551976160664e-01 2.552557182591080331e-01 9.849019808768535444e-01 1.141878579488470567e-02
2.673841615839949171e-01 2.600587816108020367e-01 9.860707144083064035e-01 1.189257457903554471e-02
3.001835813575592371e-01 2.643295220256327016e-01 9.869639112431045636e-01 1.229553784038179068e-02
3.370064329271931780e-01 2.695186338446249330e-01 9.880333558796370319e-01 1.284510034276458226e-02
3.783462617131932992e-01 2.751008386023029439e-01 9.891373023765409611e-01 1.348324269181983351e-02
4.247571552536902884e-01 2.791408222737776779e-01 9.897970996406856292e-01 1.389835580771950699e-02
4.768611697714474351e-01 2.839235248819255153e-01 9.905494539100835327e-01 1.443748637809334594e-02
5.353566677410729335e-01 2.894839564655153352e-01 9.914035371602345492e-01 1.513140854174393687e-02
6.010276782070388402e-01 2.941818663774872777e-01 9.920503746785552801e-01 1.570954733633606049e-02
6.747544053110700046e-01 2.985254030869093356e-01 9.925706763438905122e-01 1.622842735931900524e-02
7.575250258771920597e-01 3.037925045185294604e-01 9.931918829092583056e-01 1.693486931345860799e-02
8.504489341802685676e-01 3.093462319143746586e-01 9.938180965741951756e-01 1.773611508049302912e-02
9.547716114208065763e-01 3.133447556472721551e-01 9.941868327485369194e-01 1.824797960910828562e-02
1.071891319205128701e+00 3.182142218183693361e-01 9.946255405007801143e-01 1.894411199491525394e-02
1.203377840777590579e+00 3.238305199038649662e-01 9.951186561065562541e-01 1.983183274597338092e-02
1.350993521198027958e+00 3.283854841469199815e-01 9.954714442387136986e-01 2.052649907215555250e-02
1.516716888470924118e+00 3.328202345205699686e-01 9.957757950660678370e-01 2.119852750902867164e-02
1.702769172225901295e+00 3.381791207260163024e-01 9.961372485459680792e-01 2.210868560702240054e-02
1.911644075385703578e+00 3.436357376947582476e-01 9.964862009546243682e-01 2.309490103170925776e-02
2.146141197858405736e+00 3.476353551405960141e-01 9.966949561427541626e-01 2.373542539529259823e-02
2.409403560239526954e+00 3.526124653426838673e-01 9.969515462166453901e-01 2.463692971747646204e-02
2.704959730463137202e+00 3.582792850680848740e-01 9.972355174024588598e-01 2.576908021843013485e-02
3.036771118035460404e+00 3.626613016819270063e-01 9.974253446520537913e-01 2.659227178468420022e-02
3.409285069746814667e+00 3.672109123823836252e-01 9.976040894647109081e-01 2.746682230399775937e-02
3.827494478516315191e+00 3.726698476872222221e-01 9.978145869887259378e-01 2.864108894804286154e-02
4.297004704320843693e+00 3.778901750636659007e-01 9.980023167652911642e-01 2.980770885923884894e-02
4.824108704165373851e+00 3.820043835686007250e-01 9.981252833595271046e-01 3.064356992279354888e-02
5.415871378079476273e+00 3.871067403250828542e-01 9.982757518555818166e-01 3.181514878457262357e-02
6.080224261649426865e+00 3.928029838446978061e-01 9.984383368932212566e-01 3.324945896630584347e-02
6.826071834272393168e+00 3.970004346246402971e-01 9.985394125376243490e-01 3.421325697145132655e-02
7.663410868007462184e+00 4.016866211721209501e-01 9.986447769687022413e-01 3.535550207320031779e-02
8.603464416684509786e+00 4.072518156123662858e-01 9.987673094429779796e-01 3.687031920496920689e-02
9.658832241158707532e+00 4.121925276829981888e-01 9.988666064712202752e-01 3.822424610740684375e-02
1.084365968689610860e+01 4.164473770390445528e-01 9.989393979412083402e-01 3.931927754037642386e-02
1.217382727739662052e+01 4.216916011413568977e-01 9.990278046511680277e-01 4.084413743034635835e-02
1.366716356462007376e+01 4.273640227153616689e-01 9.991197245300016405e-01 4.263670017249569788e-02
1.534368408930013139e+01 4.313994486239880466e-01 9.991735177016588532e-01 4.376385229987025255e-02
1.722585965398787522e+01 4.362446813095920972e-01 9.992358319635142871e-01 4.525937662299012176e-02
